DateTime,Month,Day,Hour,Minute,Detection
2020-04-19 06:36:14,4,19,6,36,1
2020-04-19 06:37:13,4,19,6,37,1
2020-04-21 08:54:39,4,21,8,54,1
2020-04-21 09:06:02,4,21,9,6,1
2020-04-21 09:16:20,4,21,9,16,1
2020-04-21 09:17:20,4,21,9,17,1
2020-04-21 09:18:20,4,21,9,18,1
2020-04-21 09:25:14,4,21,9,25,1
2020-04-21 14:36:36,4,21,14,36,1
2020-04-21 14:44:32,4,21,14,44,1
2020-04-21 14:51:25,4,21,14,51,1
2020-04-21 16:16:34,4,21,16,16,1
2020-04-21 16:28:12,4,21,16,28,1
2020-04-21 16:29:12,4,21,16,29,1
2020-04-21 16:43:15,4,21,16,43,1
2020-04-21 17:03:36,4,21,17,3,1
2020-04-21 17:19:40,4,21,17,19,1
2020-04-21 17:33:39,4,21,17,33,1
2020-04-21 17:51:47,4,21,17,51,1
2020-04-21 18:23:13,4,21,18,23,1
2020-04-21 18:25:34,4,21,18,25,1
2020-04-21 18:31:08,4,21,18,31,1
2020-04-21 18:34:35,4,21,18,34,1
2020-04-21 18:51:09,4,21,18,51,1
2020-04-21 19:01:16,4,21,19,1,1
2020-04-21 19:11:04,4,21,19,11,1
2020-04-21 20:23:08,4,21,20,23,1
2020-04-21 21:20:31,4,21,21,20,1
2020-04-21 21:36:07,4,21,21,36,1
2020-04-21 22:01:35,4,21,22,1,1
2020-04-21 22:17:06,4,21,22,17,1
2020-04-22 08:39:37,4,22,8,39,1
2020-04-22 09:17:38,4,22,9,17,1
2020-04-22 10:47:16,4,22,10,47,1
2020-04-22 10:50:14,4,22,10,50,1
2020-04-22 10:51:13,4,22,10,51,1
2020-04-22 10:59:58,4,22,10,59,1
2020-04-22 11:01:54,4,22,11,1,1
2020-04-22 11:04:18,4,22,11,4,1
2020-04-22 11:09:11,4,22,11,9,1
2020-04-22 13:25:41,4,22,13,25,1
2020-04-22 13:34:52,4,22,13,34,1
2020-04-22 14:12:33,4,22,14,12,1
2020-04-22 14:33:15,4,22,14,33,1
2020-04-22 14:34:15,4,22,14,34,1
2020-04-22 14:37:19,4,22,14,37,1
2020-04-22 14:47:16,4,22,14,47,1
2020-04-22 16:13:17,4,22,16,13,1
2020-04-22 16:21:13,4,22,16,21,1
2020-04-22 16:26:57,4,22,16,26,1
2020-04-22 16:31:27,4,22,16,31,1
2020-04-22 16:33:00,4,22,16,33,1
2020-04-22 16:34:03,4,22,16,34,1
2020-04-22 17:28:26,4,22,17,28,1
2020-04-22 17:33:09,4,22,17,33,1
2020-04-22 17:43:05,4,22,17,43,1
2020-04-22 17:44:56,4,22,17,44,1
2020-04-22 19:03:23,4,22,19,3,1
2020-04-22 19:36:59,4,22,19,36,1
2020-04-22 19:59:29,4,22,19,59,1
2020-04-22 20:33:49,4,22,20,33,1
2020-04-22 20:34:48,4,22,20,34,1
2020-04-22 20:35:48,4,22,20,35,1
2020-04-22 21:45:36,4,22,21,45,1
2020-04-22 21:54:29,4,22,21,54,1
2020-04-22 22:54:29,4,22,22,54,1
2020-04-22 23:06:30,4,22,23,6,1
2020-04-22 23:18:06,4,22,23,18,1
2020-04-22 23:22:48,4,22,23,22,1
2020-04-23 01:07:19,4,23,1,7,1
2020-04-23 03:25:51,4,23,3,25,1
2020-04-23 06:01:08,4,23,6,1,1
2020-04-23 06:17:35,4,23,6,17,1
2020-04-23 08:35:29,4,23,8,35,1
2020-04-23 08:55:19,4,23,8,55,1
2020-04-23 09:08:25,4,23,9,8,1
2020-04-23 09:17:01,4,23,9,17,1
2020-04-23 09:19:30,4,23,9,19,1
2020-04-23 09:24:09,4,23,9,24,1
2020-04-23 09:25:08,4,23,9,25,1
2020-04-23 09:46:53,4,23,9,46,1
2020-04-23 09:48:36,4,23,9,48,1
2020-04-23 10:24:54,4,23,10,24,1
2020-04-23 10:38:06,4,23,10,38,1
2020-04-23 10:44:12,4,23,10,44,1
2020-04-23 11:26:06,4,23,11,26,1
2020-04-23 11:29:13,4,23,11,29,1
2020-04-23 11:50:12,4,23,11,50,1
2020-04-23 11:55:59,4,23,11,55,1
2020-04-23 12:29:57,4,23,12,29,1
2020-04-23 12:36:29,4,23,12,36,1
2020-04-23 12:37:19,4,23,12,37,1
2020-04-23 12:45:00,4,23,12,45,1
2020-04-23 13:23:31,4,23,13,23,1
2020-04-23 13:37:37,4,23,13,37,1
2020-04-23 14:03:10,4,23,14,3,1
2020-04-23 14:23:30,4,23,14,23,1
2020-04-23 14:28:47,4,23,14,28,1
2020-04-23 14:32:29,4,23,14,32,1
2020-04-23 14:35:08,4,23,14,35,1
2020-04-23 14:38:56,4,23,14,38,1
2020-04-23 14:44:14,4,23,14,44,1
2020-04-23 14:52:13,4,23,14,52,1
2020-04-23 14:55:39,4,23,14,55,1
2020-04-23 16:54:42,4,23,16,54,1
2020-04-23 17:16:28,4,23,17,16,1
2020-04-23 17:26:11,4,23,17,26,1
